
08-28 17:04:41.799 10193 10260 I starboard: [MainWebModule/10260:0828/170441.798617:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 779.7360000000001
08-28 17:04:45.787 10193 10260 I starboard: [MainWebModule/10260:0828/170445.786884:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 1033.6920000000014
08-28 17:04:48.239 10193 10260 I starboard: [MainWebModule/10260:0828/170448.239290:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 738.0219999999977
08-28 17:04:51.021 10193 10260 I starboard: [MainWebModule/10260:0828/170451.020977:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 729.7189999999998
08-28 17:04:54.898 10193 10260 I starboard: [MainWebModule/10260:0828/170454.898510:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 778.0159999999964
08-28 17:04:58.244 10193 10260 I starboard: [MainWebModule/10260:0828/170458.243926:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 943.4800000000032
08-28 17:05:01.059 10193 10260 I starboard: [MainWebModule/10260:0828/170501.059268:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 697.4459999999997
08-28 17:05:04.803 10193 10260 I starboard: [MainWebModule/10260:0828/170504.803855:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 906.325
08-28 17:05:08.306 10193 10260 I starboard: [MainWebModule/10260:0828/170508.306321:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 705.754000000011
08-28 17:05:10.859 10193 10260 I starboard: [MainWebModule/10260:0828/170510.859055:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 468.2669999999887
08-28 17:05:14.862 10193 10260 I starboard: [MainWebModule/10260:0828/170514.861984:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 696.4139999999975
08-28 17:05:19.081 10193 10260 I starboard: [MainWebModule/10260:0828/170519.080683:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 1019.2140000000022
08-28 17:05:22.738 10193 10260 I starboard: [MainWebModule/10260:0828/170522.738313:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 778.560999999999
08-28 17:05:26.223 10193 10260 I starboard: [MainWebModule/10260:0828/170526.223537:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 792.9329999999935
08-28 17:05:30.279 10193 10260 I starboard: [MainWebModule/10260:0828/170530.279225:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 950.7860000000078
08-28 17:05:33.923 10193 10260 I starboard: [MainWebModule/10260:0828/170533.922945:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 1047.8180000000084
08-28 17:05:37.000 10193 10260 I starboard: [MainWebModule/10260:0828/170537.000591:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 703.1729999999952
08-28 17:05:40.861 10193 10260 I starboard: [MainWebModule/10260:0828/170540.861492:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 661.4180000000003
08-28 17:05:45.320 10193 10260 I starboard: [MainWebModule/10260:0828/170545.320809:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 945.2309999999973
08-28 17:05:48.778 10193 10260 I starboard: [MainWebModule/10260:0828/170548.777448:INFO:v8c_script_debugger.cc(390)] [console.info(): https://jasonzhangxx.github.io/test/multi-encrypted-video.js, Line 318, Col 15] seek latency is 745.9970000000196
